what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371654217860
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371654231909
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371654236793
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371654236793
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371654237732
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371654238653
closed,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1371654239668
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371654240677
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371654240678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654263497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654286549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654289842
error,log,,,"",1371654298300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1371654298436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654298451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654301384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1371654307012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654307028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654310366
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1371654311874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654311890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654319778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1371654329036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654329053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654336640
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1371654337295
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1371654337311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654338708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371654344967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654349744
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1371654355488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654355515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371654365084
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1371654367602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654369550
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1371654370745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654370767
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1371654376517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654378826
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1371654381026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371654381044
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371654383943
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371654385697
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371654385748
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371654385774
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371654392925
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371654394357
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371654394498
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371654394533
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371654394553
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371654397854
